"preparations","reps"
"skin (dry); skin (dry) sample",1119
"M1",1110
"skin (dry); tissue (ethanol: vapor phase nitrogen); skeleton (dry)",1108
"Mx/",1105
"tooth fragment",1101
"vial EtOH",1100
"body fossil",1091
"m1",1086
"unknown (dry)",1086
"Bone Frag.",1079
"fascicle",1075
"PREP - 21",1071
"TOOTH FRAG",1049
"whole animal (miscellaneous); chromosome squash (microscope slide); whole animal (ethanol)",1049
"anterior Px",1031
"CUT",1030
"phalanx",1024
"jaw",1021
"neural",1017
"in vial - 1",1001
"partial animal: wings (envelope)",1001
"leaflet",994
"P",989
"otolith (dry)",988
"L M/2",974
"R M/2",968
"m2",966
"PREP - 24",966
"Microfossil slide - 1",965
"Px/",963
"tissue (95% ethanol); tissue (95% ethanol) sample",957
"/M3",956
"Figured Negatives - 1",955
"misc bone",939
"P2",939
"bone frag",930
"PREP - 23",924
"PREP - 26",918
"R M/3",918
"washed & sieved",913
"P4",903
"Dry - 7",882
"100% prepped - 4",881
"whole animal (isopropanol)",881
"whole animal (ethanol); whole animal (cleared and stained)",878
"FEMUR",877
"A+B",875
"calcaneum",875
"skull (dry); hide (dry)",874
"HUMERUS",872
"L M/3",870
"molar",870
"skull (dry); whole animal (ethanol)",870
"wood",861
"Permineralization - 6",855
"fossil specimen, 4",848
"Boxes and vials",847
"Dry - 8",842
"humerus",830
"skin (mounted); skin (dry)",828
"Slide - 1",825
"Vertebra frag",825
"TIBIA",812
"default - 5",807
"M/1",805
"R P/4",793
"Winged seed",788
"whole animal (alcohol); whole animal (cleared and stained)",787
"PREP - 27",786
"fossil - 3",780
"whole skeleton (dry)",777
"Rib",770
"Cast",762
"skull",762
"bone",752
"L P/4",751
"PREP - 28",741
"acid etched",739
"unknown (cast/mold)",734
"Sample bag",724
"CALCANEUM",720
"dry - 2",720
"PREP - 50",718
"Box",715
"whole animal (70% ethanol); partial animal (microscope slide)",713
"SHELL FRAGS",706
"skeleton (fossil)",704
"coprolite",702
"scales",701
"?",698
"Embedded",698
"whole animal (pinned); whole animal (pinned)",698
"stem",682
"p2",680
"Dry - 20",679
"Tarsometatarsus",673
"P/4",672
"P3/",670
"caudal vertebra",668
"whole animal (pointed); whole animal (pointed); whole animal (pointed)",667
"fossil - 1; fossil - 1; fossil - 1",666
"Humerus",666
"p4",657
"Pinned",656
"Extra Slides - 1",645
"M/2",645
"tissue (ethanol); whole animal (formalin/70% ethanol)",644
"100% prepped - 5",631
"m/x",631
"ovulate cone",625
"Caudal Vertebra",622
"partial right dentary",615
"ethmoid-vomer complex",613
"m1 or m2",613
"PREP - 29",613
"ulna",613
"Vertebrata",609
"maxilla",607
"Tibiotarsus frag",604
"Femur frag",602
"ethmoid",600
"partial left dentary",600
"PREP - 100",594
"otolith (dry); whole animal (alcohol)",593
"thin section - 1",583
"Dry - 0",579
"premolar",577
"R DENTARY",577
"dP3 or dP4",575
"L DENTARY",574
"phalanx 1",574
"M1 or M2",572
"PREP - 31",571
"PREP - 32",570
"ISOLATED JAWS",569
"fossil specimen, 5",568
"default - 6",567
"podial",566
"shells, batch",565
"CHEEK TOOTH",561
"Leaf",561
"M#/",554
"/R M",554
"TOOTH FRAGS",554
"VERTEBRAE",553
"whole animal: tissue (95% ethanol)",548
"bone frags",547
"M/3",544
"skull fragment",544
"tissue (ethanol); whole animal (alcohol)",544
"/L M",540
"tissue (frozen: vapor phase nitrogen); skeleton (dry)",533
"Peels with remnants",531
"centrum",530
"PREP - 33",524
"Shell",521
"unknown",521
"PREP - 34",518
"PREP - 35",515
"research ready - 1",510
"MAXILLA",508
"Dry - 9",507
"Mx",507
"C1",505
"foliated axes",505
"PREP - 40",501
"Amphibia",500
"scale",498
"rib fragment",496
"METAPODIAL",494
"Skull frag",494
"RP4/",493
"whole animal (isopropanol); partial animal (microscope slide)",493
"whole animal (formalin); tissue (frozen: -80°C); tissue (frozen: -80°C)",491
"partial animal (dry)",487
"RM1/",487
"Cuticle - 1",486
"Tibiotarsus",486
"RM2/",484
"Coracoid",483
"LP4/",483
"LM1/",481
"R M/",481
"Cast - 1",479
"teeth (unassociated)",476
"osteoderm",470
"BONE FRAGS",469
"L M/",468
"peripheral",468
"Thin sections",467
"Thin sections with remnants; Unsectioned",466
"LM/1",462
"Cut; Sample bag",459
"canine",458
"mounted",454
"PREP - 36",452
"100% prepped - 6",451
"Cataloged",450
"fossil specimen, 6",450
"PREP - 38",447
"RM/1",447
"thin section w/remnants",446
"other (unknown)",444
"Talon",444
"unknown (unknown)",444
"SKELETON COMPLETE",443
"Slides",443
"default - 7",442
"r m/1",440
"BOTTLE; MICROSLIDE",436
"barnacle",433
"LM2/",433
"metapodial",433
"MAXILLA FRAG",431
"Femur",430
"PREP - 37",427
"seed wing",427
"unknown (fossil/amber)",427
"echinoid fragment",425
"dentary fragment",424
"R M/1 OR M/2",422
"tissue (frozen)",421
"Ulna",420
"Dry - 12",419
"Peel with remnant",419
"Peel with remnants",418
"L M1/ OR M2/",414
"costal frag",413
"shell frag.",412
"thin section/acetate peel (multi-specimen)",412
"upper molar",411
"L M/1 OR M/2",410
"tissue (ethanol); whole animal (formalin)",410
"R M1/ OR M2/",407
"fossil - 4",405
"phalange",405
"tissue (ethanol); tissue (ethanol) sample",404
"model",402
"PP 1x3 Slides",402
"100% prepped - 7",401
"tooth frag",399
"Humerus frag",398
"femur",397
"LMx/",393
"RMx/",393
"Bottle; Thin sections no remnants; Thin sections with remnants",392
"median section w/remnants",392
"vertebral centrum",391
"fossil - 1; fossil - 1; fossil - 1; fossil - 1",388
"metatarsal",388
"mold",388
"PREP - 39",385
"DENTARY FRAGS",383
"Ulna frag",383
"M/#",382
"L M#/",381
"phalanx 2",377
"/R P4",377
"default - 8",375
"M/1 or 2",372
"cervical vertebra",370
"Echinoid",370
"long bone fragment",370
"whole animal (ethanol); whole animal (ethanol)",369
"RIB",367
"Photographed - 2",366
"partial skeleton",364
"Rib frag",364
"/R M3",363
"m",362
"Rm/x",362
"L  m/1",361
"/L M3",358
"partial vertebra",358
"Microfossil slide - 2",357
"SKULL FRAG",357
"BOTTLE",354
"R M/#",351
"/R M1",351
"Carpometacarpus frag",349
"R M#/",349
"L M/#",348
"mounted whole animal (dry)",347
"mx",347
"tissue (95% ethanol); whole animal (alcohol)",346
"humerus frag",345
"/L M1",345
"Lm/x",344
"Scapula frag",344
"100% prepped - 8",343
"DIST HUMERUS",339
"PREP - 42",338
"incomplete skeleton (dry)",336
"subopercule",335
"distal humerus",333
"unknown (70% ethanol)",333
"whole animal (RNAlater)",332
"partial jaw",330
"skeleton (dry); whole animal (ethanol)",330
"maxilla w",327
"Radius",327
"LM/2",326
"thoracic vertebra",325
"bone, probably batch number",324
"PREP - 43",324
"PROX PHALANX",324
"RM/2",323
"partial animal (fossil)",322
"ULNA",322
"rib",320
"foliated stem",318
"PREP - 41",318
"Bottle; Cut",317
"dentary frag",317
"L M1",317
"jaw frag",316
"Dry - 11",314
"acetate peel",313
"chromosome squash (microscope slide); whole animal (ethanol)",313
"coral",313
"osteoderms",313
"skin (dry); tissue (frozen: vapor phase nitrogen)",312
"C",311
"PREP - 44",311
"TRACKWAY",311
"body (70% ethanol); valve (dry)",310
"/L P4",310
"preopercule",307
"body",305
"R Dentary",303
"/R M2",302
"Tibia",302
"whole animal (alcohol); whole animal (70% ethanol)",302
"default - 9",301
"L M/1-M/2",301
"skeleton - 1",300
"hide (dry)",299
"partial left premaxillary",299
"P3",297
"Cephalopoda",295
"Lot",294
"premaxilla",294
"/L M2",293
"M FRAG",293
"L M/2-M/3",292
"R M/2-M/3",292
"M FRAG/",291
"R M/1-M/2",290
"tissue (RNAlater)",289
"BONES",288
"Microslide; Thin sections no remnants",287
"palynomporph",287
"default - 10",286
"mouthplate",285
"dermal scute",284
"RADIUS",284
"SEM",284
"L Dentary",283
"PP 2x3 Slides - 1",283
"tissue (95% ethanol); whole animal (formalin/70% ethanol)",283
"whole animal (70% ethanol); whole animal (70% ethanol)",283
"r m/3",282
"UNGUAL PHALANX",282
"LWR MANDIBLE FRAG",281
"PREP - 45",281
"fossil specimen, 7",280
"vertebra fragment",280
"BONE FRAG",278
"ventral postcleithra",278
"l m/3",277
"HVCI",276
"Radius frag",275
"lumbar vertebra",274
"Metapodial",274
"steinkern",274
"fossil - 1; fossil - 1; fossil - 1; fossil - 1; fossil - 1",273
"partial right premaxillary",271
"seed",271
"cheek tooth",269
"M1 or 2/",269
"PREP - 52",269
"DP",268
"R P3/",268
"dp3 or dp4",266
"LM3/",266
"Compression/Impression - 3",264
"metacarpal",264
"misc shell frags",264
"research ready - 2",264
"100% prepped - 9",262
"DIST TIBIA",262
"ilium",262
"INCOMPL SKELETON",262
"atlas",261
"Dentary",261
"Ix/",261
"maxilla fragment",261
"PREP - 49",261
"epiplastron",260
"radius",260
"fossil - 5",259
"partial animal (95% ethanol)",258
"cut & polished",257
"partial animal: wings (envelope); partial animal: body (ethanol)",257
"PHALANGES",257
"tissue (ethanol); tissue (95% ethanol) sample",257
"tissue (ethanol); DNA (frozen: -20°C)",256
"Archaeocyatha",255
"L M3",255
"scapula",255
"L P3/",253
"PREP - 46",253
"r m/2",253
"in matrix � other - 2",252
"INNOMINATE",252
"Tooth frag",252
"partial dentary",251
"SCAPULA",251
"tibia",251
"frontal",250
"misc bones",250
"/P",250
"in vial - 2",249
"PREP - 47",249
"100% prepped - 10",248
"CUBOID",248
"RM3/",247
"tooth, broken",247
"PALATE",246
"PECTORAL SPINE",245
"barnacle fragment",244
"Cut",244
"barnacles",243
"Anthozoa",241
"fossil specimen, 8",241
"posterior peripheral",241
"costal",240
"P2/",239
"PREP - 48",239
"partial osteoderm",238
"vial",238
"whole animal (alcohol); whole animal (alcohol)",238
"MANDIBLE FRAG",236
"Microfossil slide - 3",236
"internal and external molds",235
"lower tooth",235
"SECTIONED - 1",235
"Dry - 15",234
"Thin section",234
"P4/ or M1/",233
"skull (dry); skeleton (dry)",233
"tissue (frozen: vapor phase nitrogen); whole animal (ethanol)",233
"L m/2",232
"navicular",232
"L M2",231
"NAVICULAR",231
"partial dermal scute",230
"CAUDAL VERTEBRA",229
"DP4/",229
"jaw fragments",229
"whole animal (ethanol); whole animal (ethanol) sample",229
"L M/1 COMPLETE",228
"tissue (unknown); whole animal (formalin)",227
"Carpometacarpus",226
"cuboid",226
"lower molar",226
"shell frags, assoc",226
"head",223
"vial EtOH, lightly stained",223
"Dry - 1; Photograph - 1",221
"elytron",219
"tissue (frozen: vapor phase nitrogen)",218
"ungual phalanx",218
"scute",217
"Dry - 13",216
"PREP - 60",216
"fossil - 6",215
"TOOTH/",215
"OSTEODERMS",214
"PREP - 51",214
"needle",212
"100% prepped - 11",211
"L M/1-M/3",210
"R DENTARY W P4-M3",210
"skull (dry); skin (dry); skin (dry) sample",210
"fossil specimen, 10",209
"/I",209
"Photograph - 1; Dry - 1",209
"Sesamoid",209
"tooth fragments",209
"Calcaneus",208
"skin (dry); tissue (frozen: vapor phase nitrogen); skeleton (dry)",208
"SEM stub",207
"Palynological Slides - 1",206
"LIMB BONES",205
"R M/1-M/3",205
"SCALES",205
"suboperculum",204
"I/1",203
"in matrix - other",203
"/M FRAG",202
"unknown (replica)",200
"Dry - 50",199
"skull and jaw (dry)",199
"whole animal (formalin/70% ethanol); tissue (ethanol); tissue (ethanol) sample",199
"assoc shell frags",198
"default - 11",198
"P/3",197
"foliated branch",196
"PREP - 53",196
"proximal phalanx",196
"Dry - 14",195
"matrix block",195
"Permineralization - 10",195
"R M/1 COMPLETE",195
"L DENTARY FRAG",194
"partial costal",194
"PREP - 55",194
"R DENTARY FRAG",194
"Photograph - 1",192
"whole animal (mounted w/genitalia vial)",191
"Bone fragment",190
"/L M1 OR M2",190
"partial shell",190
"Slide, Thin Section - 1",190
"shell frag",189
"CERVICAL VERTEBRA",188
"dorsoventral section",188
"phalanges",188
"PREP - 54",188
"R JAW",188
"spine",186
"fossil specimen, 9",184
"humerus (distal)",184
"/R M1 OR M2",184
"carapace and plastron (dry)",182
"Dry - 30",182
"dry - 4",182
"LIMB BONE FRAG",182
"M1 OR M2",182
"skull frag",182
"Thin sections no remnants; Unsectioned",182
"tissue (95% ethanol: vapor phase nitrogen); whole animal (70% ethanol)",182
"/TOOTH",182
"tooth frags",182
"ATLAS",181
"costal frags",181
"100% prepped - 12",180
"Branch",180
"Microfossil slide - 4",180
"fragment (dry)",179
"L DENTARY W P4-M3",179
"pharyngeal",179
"R P/3",179
"NC",178
"median section",177
"dry - 3",176
"in vial - 3",176
"Peels with remnants; Thin sections with remnants",176
"SESAMOID",176
"trunk vertebra",176
"upper cheek tooth fragment",176
"bridge peripheral",175
"dorsoventral section w/remnants",175
"LM1",175
"plastron frag",175
"Thin sections no remnants; Peels",175
"Dry - 1; Dry - 2",174
"EtOH - 1; dry - 1",174
"Dry - 16",173
"mandible",173
"skull (dry); skin (dry); skeleton (dry)",173
"artifact (dry)",172
"internal molds",172
"lower molariform tooth",172
"skeleton (unknown)",172
"skull (fossil)",172
"PODIAL",171
"tissue (frozen); tissue (frozen) sample",171
"whole animal (ethanol); skull and jaw (dry)",171
"fossil - 1; fossil - 1; fossil - 1; fossil - 1; fossil - 1; fossil - 1",170
"L P/3",170
"r m/x",170
"ISOLATED TOOTH",169
"L JAW",169
"scaphoid",169
"Proximal Phalanx",168
"entoplastron",167
"INCISOR",167
"L /m2",167
"tissue (95% ethanol); whole animal (70% ethanol)",167
"femur (distal)",166
"Image - 1",166
"P/4, M/1, or M/2",166
"partial animal (70% ethanol)",166
"external molds",165
"P1",165
"Permineralization - 11",165
"PREP - 56",165
"default - 13",164
"Lm1",164
"pelvis",164
"R upper M or P",164
"Teeth",164
"dorsal vertebra",163
"M1/ OR M2/",163
"R+L DENTARY",163
"FRAGS",162
"partial tooth",162
"R /m1",162
"skull (ethanol); skin (ethanol)",162
"i2",161
"Permineralization - 5",161
"r p/4",161
"CUNEIFORM",160
"Metapodial frag",160
"opercule",160
"RP/4",160
"Mx/ frag",159
"quadrate",159
"SCAPHOID",159
"skeleton (dry); hide (dry)",159
"SKULL,DENTARY",159
"whole shell (dry)",159
"L P/4-M/1",158
"/P3",158
"R M1/-M2/",158
"R P/4-M/1",158
"SKULL FRAGS",158
"calcaneus",157
"dP2",157
"Microslide; Unsectioned",157
"PREP - 57",157
"claw",156
"L upper M or P",156
"proximal femur",156
"100% prepped - 13",155
"CHEEK TOOTH/",154
"LM1or2/",154
"Rib Frag.",154
"trigonid of mx",154
"upper tooth",154
"axis",153
"coracoid",153
"Cuticle",153
"DIST METAPODIAL",153
"DORSAL VERTEBRA",153
"plastic container",153
"vertebra frag",153
"HORN CORE",152
"L DENTARY W P4-M2",152
"L m/x",152
"lower cheek tooth fragment",152
"MANDIBLE",152
"misc. fragments",152
"partial skeleton (subfossil)",152
"RM1",152
"RM1or2/",152
"thallus",152
"L /m1",151
"patella",151
"r epiplastron",151
"subopercula",151
"distal tibia",150
"DNA (frozen: vapor phase nitrogen); partial animal: tissue (95% ethanol: vapor phase nitrogen)",150
"limb bone frag",150
"OSTEODERM",150
"p/4",150
"ulna frag",150
"limpet",149
"PREP - 500",149
"PREP - 58",149
"well slide; dry",149
"DP3/",148
"Rm1",148
"tooth plate",148
"unciform",148
"100% prepped - 14",147
"articular",147
"cheek tooth fragment",147
"FIBULA",147
"left petrosal",147
"m/1",147
"skull frag.",147
"75% prepped - 1",146
"partial rostrum",146
"petrosal",146
"neural spine fragment",145
"partial hyplural",145
"phalanx 2, digit II or IV",145
"RM/3",145
"c1",144
"defoliated axis",144
"MAGNUM",144
"partial scapula",144
"PERIOTIC",144
"dry",143
"LM/3",143
"molar fragment",143
"PHALANX 1",143
"SKULL,R+L DENTARY",143
"Trilobita",143
"metapodials",142
"R JAW, M/1-M/2",142
"in matrix � other - 3",141
"JAW FRAG",141
"M/1 OR M/2",141
"shell (dry); body (70% ethanol)",141
"whole animal (ethanol); tissue (ethanol); tissue (ethanol) sample",141
"DENTARY W TEETH",140
"DIST RADIUS",140
"Dry - 2; Dry - 1",140
"RM/1or2",140
"R /m2",140
"LIMB BONE",139
"Mandible Frag.",139
"METATARSAL",139
"Oversized; HVCI",139
"peripherals",139
"skin (dry); tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen)",139
"tooth fragments (unassociated)",139
"Needles",138
"PREP - 65",138
"ethmoids",137
"fragment (70% ethanol)",137
"metapodial or phalanx",137
"PREP - 70",137
"Sample bag; Thin sections no remnants; Thin sections with remnants",137
"/LP4",136
"P3 or P4",136
"PODIALS",136
"PREMAXILLA",136
"PREP - 59",136
"default - 15",135
"Jaw frag",135
"plastral element",135
"default - 14",134
"/DP4",134
"research ready - 3",134
"skull (dry); skin (dry); other (unknown)",134
"SPINE",134
"whole animal (formalin/70% ethanol); tissue (95% ethanol); tissue (95% ethanol) sample",134
"Lm2",133
"LP/4",133
"paired frontal",133
"PATELLA",133
"p/x",133
"R DP4/",133
"L DP4/",132
"L M3/ COMPLETE",132
"microdissection",132
"PHALANX 3",131
"skull fragments",131
"tissue (RNAlater); whole animal (formalin)",131
"caudal vertebrae",130
"R mx",130
"UNGUAL",130
"100% prepped - 16",129
"PREP - 62",129
"PREP - 66",129
"R DENTARY W P4-M2",129
"right petrosal",129
"ungual",129
"acetate peel w/remnants",128
"Bottle; Microslide",128
"Phalanx frag",128
"coprolites",127
"distal phalanx",127
"L P4",127
"Maxilla",127
"cuneiform",126
"Fibula",125
"Incisor",125
"MICROSLIDE",125
"Permineralization - 12",125
"prothorax",125
"Tarsometatarsus frag",125
"Dry - 18",124
"fossil specimen, 12",124
"I1",124
"L M1/-M2/",124
"Peels no remnants",124
"Phalange",124
"/RM1",124
"scutes",124
"skull (subfossil)",124
"tympanic bulla",124
"whole animal (carded); whole animal (carded)",124
"Dentary w L m1-m2",123
"INTERCLAVICLE",123
"LIMB BONE FRAGS",123
"partial marginal",123
"PROX FEMUR",123
"whole animal (70% ethanol); tissue (frozen); tissue (frozen) sample",123
"jaws",122
"p3",122
"plastron fragment",122
"whole animal (70% ethanol); partial animal: tissue (70% ethanol)",122
"Dentary w L m1-m3",121
"DIST FEMUR",121
"dors vertebra",121
"Jaw",121
"osteoderm frag",121
"Skull",121
"tissue (frozen: vapor phase nitrogen); partial skeleton (dry); spread wing (dry)",121
"fossil - 7",120
"L mx",120
"M/x",120
"PHALANX 2",120
"0% prepped - 1",119
"100% prepped - 15",119
"incisors",119
"l epiplastron",119
"/LM2",119
"LUNAR",119
"MANDIBLE FRAGS",119
"Skeleton",119
"TARSOMETATARSUS",119
"Thin sections; Remnants",119
"barnacle fragments",118
"carapace fragment",118
"cheek tooth frag",118
"humerus (proximal)",118
"Microfossil slide - 5",118
"nuchal",118
"/RP4",118
"R SPLENIAL",118
"scapula fragment",118
"spines",118
"tissue (frozen: vapor phase nitrogen); tissue (frozen: vapor phase nitrogen)",118
"CHEEK TEETH",117
"dentary w r m1-m2",117
"Dry - 17",117
"in matrix � other - 4",117
"lower right canine",117
"partial dermal scutes",117
"PREP - 64",117
"skeleton frag.",117
"skull (dry); skin (mounted)",117
"LM/1or2",116
"Podial",116
"THORACIC VERTEBRA",116
"L M/1?",115
"MID PHALANX",115
"partial right frontal",115
"PREP - 61",115
"PREP - 75",115
"UNCIFORM",115
"default - 16",114
"L MX/",114
"R m1",114
"R M3/ COMPLETE",114
"carapace frags",113
"L DENTARY W M1-M3",113
"L JAW, M/1-M/2",113
"magnum",113
"osteoderm frags",113
"PREP - 63",113
"PREP - 67",113
"R DENTARY W M1-M3",113
"R PTERYGOID",113
"VERTEBRA FRAG",113
"Carpal Element",112
"DENTARIES",112
"L PTERYGOID",112
"partial right angular",112
"tissue (95% ethanol: vapor phase nitrogen); DNA (frozen: vapor phase nitrogen)",112
"100% prepped - 17",111
"damaged tooth",111
"/LM1",111
"PREP - 74",111
"Proximal phalanx",111
"shell (dry); shell (dry) sample",111
"Sternum",111
"CORACOID",110
"Insecta",110
"jaw (dry)",110
"JAW, L M/2-M/3",110
"left m/1",110
"l m2",110
"L P/4-M/3",110
"premaxillary",110
"R dentary fragment",110
"R P/4-M/2",110
"R P/4-M/3",110
"Tibia frag",110
"whole animal (95% ethanol); DNA (frozen)",110
"/CHEEK TOOTH",109
"Extra Slide Collection - 1",109
"JAW RAMUS",109
"lower left canine",109
"L P/4-M/2",109
"METATARSAL 4",109
"unknown (95% ethanol)",109
"axes",108
"L DENTARY W M1-M2",108
"m/2",108
"MOLAR",108
"R FEMUR",108
"right m/1",108
"skull frags",108
"whole animal (formalin/70% ethanol); tissue (ethanol); tissue (RNAlater)",108
"caud vertebra",107
"dp4",107
"fossil - 8",107
"L HUMERUS",107
"lunar",107
"METACARPAL",107
"R dentary",107
"Scapula",107
"Tarsal bone",107
"upper right canine",107
"dentary fragments",106
"ECTOCUNEIFORM",106
"fossil specimen, 11",106
"JAWS",106
"partial left frontal",106
"PISIFORM",106
"PREP - 72",106
"Unprepared jackets",106
"woody stem",106
"Bottle; Sample bag",105
"JAW, R M/2-M/3",105
"l M2",105
"METAPODIAL 3",105
"R P2/",105
"skin (dry); skeleton (dry); other (ethanol)",105
"distal femur",104
"Image, CT Scan - 1",104
"INNOMINATE FRAG",104
"L dentary",104
"L DENTARY W P4-M1",104
"L P2/",104
"m/3",104
"R DP/4",104
"R HUMERUS",104
"SKULL+DENTARY",104
"crustacean fragments",103
"default - 18",103
"l m3",103
"operculum",103
"partial left angular",103
"PROX ULNA",103
"Rm2",103
"RP3/",103
"Synsacrum frag",103
"bryozoan",102
"carapace frag",102
"Echinoidea",102
"LWR MANDIBLE",102
"Molar",102
"PROX HUMERUS",102
"skeleton (dry); whole animal (miscellaneous)",102
"talonid of mx",102
"tissue (ethanol); tissue (ethanol)",102
"basioccipital",101
"L MAXILLA",101
"M1or2/",101
"Px or Mx",101
"BONE",100
"DNA (frozen: -20°C); tissue (ethanol); DNA (frozen: -20°C) sample",100
"l M1",100
"LUMBAR VERTEBRA",100
"Microfossil slide - 6",100
"PREP - 69",100
"trackway",100
"CALCANEUM FRAG",99
"cut",99
"DNA (frozen)",99
"histology slide",99
"L FEMUR",99
"LP3/",99
"PREP - 68",99
"shell frags.",99
"tibia fragment",99
"whole animal (pointed); whole animal (pinned)",99
"Cast/mold",98
"Coprolites",98
"default - 19",98
"PREP - 76",98
"R DENTARY W M1-M2",98
"remnant",98
"samara",98
"100% prepped - 19",97
"distal end of humerus",97
"LMx/ frag",97
"neural arch",97
"partial left maxillary",97
"RMx/ frag",97
"default - 17",96
"default - 20",96
"fossil specimen, 15",96
"hypoplastron frag",96
"JAW, R M/1-M/2",96
"L dentary fragment",96
"proximal radius",96
"R I1/",96
"tissue (DMSO); whole animal (formalin)",96
"unknown (microscope slide)",96
"echinoid spine",95
"Graptolithina",95
"i1",95
"infructescence",95
"L upper M3",95
"P7",95
"pelvis fragment",95
"Permineralization - 13",95
"PREP - 73",95
"PREP - 80",95
"research ready - 4",95
"R M/1?",95
"SKULL & JAWS",95
"upper left canine",95
"100% prepped - 18",94
"carpal/tarsal",94
"chevron",94
"HUMERUS FRAG",94
"MAX",94
"other (dry)",94
"Remnants",94
"right astragalus",94
"sesamoid",94
"tooth plates",94
"ectomesocuneiform",93
"keeled dermal ossicle",93
"l m1",93
"P#/",93
"palatal teeth",93
"Patella",93
"r astragalus",93
