"index.family","reps"
"alcidae",3921
"phosichthyidae",3919
"pholadidae",3912
"corystospermaceae",3890
"monticuliporidae",3879
"cerionidae",3851
"epitoniidae",3840
"trachyleberididae",3803
"helminthoglyptidae",3802
"tapiridae",3799
"hemigaleidae",3778
"castoridae",3770
"leiorhynchidae",3758
"zonitidae",3751
"terebratulidae",3745
"callianassidae",3733
"ictaluridae",3690
"cuculidae",3657
"tetraodontidae",3655
"calymenidae",3636
"mitridae",3613
"talpidae",3566
"falconidae",3563
"strabomantidae",3556
"ardeidae",3522
"echinoconchidae",3508
"juglandaceae",3506
"dielasmatidae",3504
"camaenidae",3451
"faviidae",3451
"platanaceae",3445
"anaptomorphidae",3428
"iguanidae",3424
"ptilodontidae",3421
"gryllidae",3409
"melongenidae",3401
"theridiidae",3375
"phasmatidae",3369
"lottiidae",3360
"pteriidae",3349
"turbinellidae",3345
"salamandridae",3328
"dichobunidae",3315
"uncinulidae",3303
"fistuliporidae",3271
"rosaceae",3269
"megalonychidae",3249
"elapidae",3247
"dasyatidae",3219
"mimidae",3216
"orthalicidae",3179
"sphaeriidae",3179
"calliostomatidae",3172
"acanthoceratidae",3156
"alaudidae",3155
"centropomidae",3149
"cassidae",3141
"charadriidae",3128
"plicatulidae",3117
"lacertidae",3112
"mucrospiriferidae",3106
"lepidocyclinidae",3102
"cheloniidae",3078
"diodontidae",3077
"schizophoriidae",3058
"delthyrididae",3052
"nyctitheriidae",3024
"archaeocidaridae",3020
"nautilidae",3012
"gnaphosidae",2993
"ellobiidae",2990
"lamprophiidae",2976
"dendrasteridae",2971
"drilliidae",2971
"gomphotheriidae",2963
"macropodidae",2960
"ursidae",2946
"rissoidae",2944
"fenestellidae",2929
"fabaceae",2911
"anthracophausiidae",2903
"wellerellidae",2890
"lophospiridae",2887
"ranellidae",2873
"pentameridae",2859
"subulinidae",2839
"hiatellidae",2836
"bellerophontidae",2835
"cheiruridae",2835
"orthidae",2806
"collignoniceratidae",2798
"plaesiomyidae",2793
"sphaeroceridae",2791
"pinnidae",2788
"toxasteridae",2765
"motacillidae",2757
"chelydridae",2752
"euryplacidae",2746
"diplograptidae",2719
"micheliniidae",2709
"leptodactylidae",2696
"amiidae",2674
"bolivinitidae",2673
"melamphaidae",2672
"trigonirhynchiidae",2671
"serranidae",2641
"aporrhaidae",2636
"limidae",2636
"lyginopteridaceae",2632
"aulostegidae",2626
"chamaeleonidae",2593
"succineidae",2585
"discinidae",2582
"lymnaeidae",2581
"cassidulidae",2576
"rhynchonellidae",2571
"lituolidae",2566
"riodinidae",2556
"myidae",2550
"paralepididae",2549
"ochotonidae",2541
"meekellidae",2533
"dalmanitidae",2530
"daviesiellidae",2529
"sowerbyellidae",2512
"lingulidae",2496
"plesiadapidae",2489
"ulmaceae",2483
"architectonicidae",2469
"molossidae",2468
"arthroleptidae",2455
"ambonychiidae",2453
"bradybaenidae",2452
"yoldiidae",2451
"alcedinidae",2436
"serpulidae",2434
"clupeidae",2427
"marginiferidae",2420
"echimyidae",2418
"scarabaeidae",2413
"hauerinidae",2392
"dendrobatidae",2390
"rhynchospirinidae",2382
"olenidae",2380
"dolerorthidae",2374
"amastridae",2368
"adapisoricidae",2367
"pupillidae",2363
"mylodontidae",2359
"lauraceae",2356
"nectariniidae",2349
"chironomidae",2345
"potamididae",2334
"characidae",2320
"ptychopariidae",2319
"coryphodontidae",2313
"uvigerinidae",2313
"illaenidae",2312
"asteriidae",2311
"hypertragulidae",2298
"cystiphyllidae",2290
"acmaeidae",2281
"congridae",2274
"finkelnburgiidae",2263
"hemiphractidae",2258
"panalcidae",2250
"noetiidae",2246
"cordaitaceae",2245
"apidae",2242
"unranked",2223
"mosasauridae",2222
"delphinidae",2203
"pycnonotidae",2199
"textulariidae",2187
"alokistocaridae",2186
"olenellidae",2180
"heterotrypidae",2178
"algae",2174
"cycadeoidaceae",2171
"nonionidae",2153
"cyrenidae",2144
"cibicididae",2134
"pleurotomariidae",2134
"achatinidae",2133
"vermetidae",2121
"glyptodontidae",2116
"hydrobiidae",2109
"dictyoclostidae",2105
"cylichnidae",2096
"mellitidae",2093
"noctuidae",2091
"moschidae",2090
"portunidae",2090
"schwagerinidae",2075
"eucalyptocrinitidae",2071
"schuchertellidae",2071
"iridinidae",2059
"semionotidae",2028
"sphenodiscidae",2026
"annulariidae",2023
"caryocrinitidae",2021
"solecurtidae",2012
"arctocyonidae",2003
"hapsiphyllidae",2002
"cylindrodontidae",2000
"thiaridae",1997
"dermatemydidae",1988
"busyconidae",1979
"cycloconchidae",1979
"polymorphinidae",1970
"carangidae",1966
"pediomyidae",1961
"geisonoceratidae",1960
"thomisidae",1958
"beecheriidae",1946
"mammutidae",1945
"fissispongiidae",1943
"eulimidae",1933
"neoicoceratidae",1920
"sittidae",1920
"triviidae",1914
"callistophytaceae",1908
"labridae",1908
"acrotretidae",1907
"grammysiidae",1907
"amphicyonidae",1906
"oonopidae",1904
"podicipedidae",1893
"typhlopidae",1892
"caprimulgidae",1877
"matoniaceae",1872
"buliminidae",1869
"pectiniidae",1867
"subtriquetridae",1867
"araucariaceae",1854
"murchisoniidae",1849
"protoscutellidae",1849
"paguridae",1843
"kannemeyeriidae",1837
"bullidae",1825
"laniidae",1825
"boidae",1816
"mangeliidae",1815
"eoorthidae",1814
"cicadellidae",1810
"hammatocnemidae",1806
"sphenophyllaceae",1796
"phylloscopidae",1795
"pseudomelatomidae",1795
"cylindrophymatidae",1793
"ungulinidae",1784
"notonectidae",1778
"merlucciidae",1773
"maeandrostiidae",1764
"dalodesmidae",1763
"cidaridae",1761
"phillipsiidae",1760
"spiriferinidae",1760
"ramphastidae",1758
"hemiasteridae",1757
"cotingidae",1745
"proetidae",1742
"cambaridae",1733
"gymnophthalmidae",1732
"pipidae",1726
"cucullaeidae",1719
"centronellidae",1716
"hyracodontidae",1716
"percidae",1712
"leiothrichidae",1703
"pachyporidae",1701
"acteonidae",1694
"streptaxidae",1688
"dipodidae",1685
"limulidae",1675
"cimolestidae",1673
"gypidulidae",1665
"sturnidae",1663
"spinocyrtiidae",1661
"meliphagidae",1654
"tetragnathidae",1654
"pipridae",1653
"stenoscismatidae",1651
"pomacentridae",1647
"modiomorphidae",1640
"rhizangiidae",1640
"pholadomyidae",1635
"gobiidae",1632
"zygopteridaceae",1625
"ampullariidae",1613
"bibionidae",1610
"cecidomyiidae",1610
"spondylidae",1609
"thyasiridae",1609
"lyttoniidae",1606
"leiocephalidae",1603
"rajidae",1594
"viverravidae",1592
"conulariidae",1590
"tornidae",1583
"phrurolithidae",1579
"estrildidae",1577
"leptictidae",1569
"plataleidae",1568
"ploceidae",1568
"dichograptidae",1567
"periptychidae",1562
"pomatiidae",1562
"actiniidae",1553
"mycetophilidae",1553
"batocrinidae",1552
"mantellidae",1543
"lithobiidae",1541
"quadricellariidae",1534
"phytosauridae",1528
"siphonariidae",1523
"sylviidae",1522
"pseudorthoceratidae",1516
"elateridae",1497
"procyonidae",1494
"reticulariidae",1493
"hygromiidae",1490
"parallelodontidae",1490
"cyrtospiriferidae",1489
"echinolampadidae",1489
"palaeoniscidae",1487
"leperditiidae",1486
"sphingidae",1486
"cathartidae",1480
"mephitidae",1479
"cercopithecidae",1477
"achistridae",1475
"purgatoriidae",1475
"ataxophragmiidae",1473
"triaenonychidae",1459
"hyaenodontidae",1456
"ocypodidae",1455
"arctiidae",1454
"goniatitidae",1453
"hemicytheridae",1451
"acanthotelsonidae",1447
"ficidae",1446
"nummulitidae",1440
"cyrtiidae",1436
"osmundaceae",1436
"brancoceratidae",1434
"girtyocoeliidae",1434
"megatheriidae",1431
"isectolophidae",1430
"amplexidae",1425
"schizodidae",1424
"rhamnaceae",1419
"malvaceae",1418
"anopliidae",1416
"lemmatophoridae",1416
"eupatagidae",1415
"naticopsidae",1403
"cassidulinidae",1402
"sciuravidae",1398
"chitonidae",1396
"asteraceae",1390
"trogonidae",1390
"richthofeniidae",1389
"cranaenidae",1388
"dorypteridae",1380
"platystrophiidae",1380
"halloporidae",1371
"moraceae",1362
"plethopeltidae",1362
"ketophyllidae",1351
"placenticeratidae",1350
"catacrinidae",1349
"erisocrinidae",1347
"ginkgoaceae",1347
"mugilidae",1342
"myobatrachidae",1339
"eucosmodontidae",1328
"paromomyidae",1328
"soleniscidae",1327
"leguminosae",1326
"cancellothyrididae",1322
"pharidae",1319
"cyrtinidae",1314
"prosciuridae",1314
"gadilidae",1313
"derbyiidae",1307
"costellariidae",1305
"edmondiidae",1303
"muraenidae",1299
"patellidae",1298
"lampterocrinidae",1297
"frieleiidae",1290
"crangonidae",1289
"catostomidae",1287
"passeridae",1282
"arietitidae",1277
"hegetotheriidae",1272
"dugongidae",1270
"clypeasteridae",1269
"protoceratidae",1266
"pristidae",1265
"scolopendridae",1265
"gastrodontidae",1262
"spongiidae",1260
"bairdiidae",1258
"subulitidae",1257
"monticuliferidae",1249
"monotomidae",1244
"trinucleidae",1244
"bakevelliidae",1243
"cyathopsidae",1243
"mioclaenidae",1242
"sparidae",1241
"cyperaceae",1240
"acipenseridae",1234
"cottidae",1231
"psammobiidae",1229
"aplodontiidae",1226
"hahniidae",1224
"calcariidae",1223
"sagenodontidae",1222
"taeniolabididae",1222
"phymatopleuridae",1218
"discidae",1217
"craniidae",1214
"liolaemidae",1209
"odontopleuridae",1207
"uintacrinidae",1207
"trematoporidae",1206
"rhodocrinitidae",1204
"paralichthyidae",1200
"macluritidae",1184
"apodidae",1183
"equisetaceae",1183
"dromaeosauridae",1181
"sphyraenidae",1180
"cisticolidae",1178
"cimolodontidae",1177
"mylagaulidae",1177
"parastrophinidae",1175
"cyclidae",1173
"salmonidae",1168
"belemnitidae",1167
"pholcidae",1165
"ischnochitonidae",1164
"ichthyodectidae",1163
"tropidoleptidae",1157
"caecidae",1155
"elphidiidae",1153
"campephagidae",1152
"cytheruridae",1152
"belostomatidae",1151
"permophoridae van",1150
"cerithiopsidae",1148
"bothidae",1145
"triglidae",1143
"ceratitidae",1142
"modulidae",1139
"ophichthidae",1138
"paradoxididae",1138
"cyathaxoniidae",1136
"sanguinolitidae",1134
"triphoridae",1133
"saturniidae",1132
"schizasteridae",1129
"haliotidae",1128
"pteropodidae",1127
"erinaceidae",1124
"monacanthidae",1124
"billingsellidae",1119
"baenidae",1118
"verneuilinidae",1117
"xanthonychidae",1114
"hemicystitidae",1113
"retziidae",1108
"clubionidae",1107
"phyllodactylidae",1104
"psaroniaceae",1104
"hughmilleriidae",1101
"lepidosirenidae",1100
"tupaiidae",1099
"pantolestidae",1098
"trochamminidae",1094
"terebratellidae",1093
"amphisbaenidae",1091
"solenidae",1090
"cyathophyllidae",1088
"tropiduridae",1085
"xenophoridae",1083
"nimravidae",1081
"poritidae",1081
"anoplothecidae",1079
"balaenopteridae",1077
"clavatulidae",1071
"istiophoridae",1069
"periechocrinidae",1067
"buthidae",1066
"pachyporidae?",1066
"helaletidae",1062
"paraparchitidae",1062
"rhacophoridae",1060
"pugnacidae",1058
"heliolitidae",1056
"eatoniidae",1055
"cornaceae",1054
"exocoetidae",1054
"hipponicidae",1051
"regulidae",1051
"nemichthyidae",1045
"amplexoporidae",1044
"aulacopleuridae",1042
"pomatomidae",1038
"tegulidae",1038
"gempylidae",1037
"tsinaniidae",1037
"anomalinidae",1035
"sulidae",1035
"allomyidae",1034
"ophiolepididae",1029
"conocardiidae",1028
"cyclophoridae",1027
"magnoliaceae",1024
"fundulidae",1022
"dicranograptidae",1020
"phasianellidae",1020
"oleacinidae",1017
"lagenidae",1016
"meliaceae",1014
"coelocrinidae",1012
"diaphanometopidae",1012
"monarchidae",1012
"crambidae",1009
"macrouridae",1009
"ophiuridae",1008
"redfieldiidae",1008
"cercidiphyllaceae",1004
"solenopleuridae",1002
"diprotodontidae",1000
"acanthuridae",999
"truncatellidae",997
"hexanchidae",992
"rhynchoporidae",992
"partulidae",991
"agassizocrinidae",988
"cerambycidae",988
"endoceratidae",981
"zosteropidae",981
"constellariidae",977
"echinocarididae",977
"radiolitidae",975
"anguillidae",972
"pterocephaliidae",966
"spiriferellidae",965
"trigoniidae",965
"spiraxidae",964
"arecaceae",962
"platycrinitidae",960
"ichneumonidae",956
"oligopygidae",954
"syrphidae",953
"delphacidae",951
"poeciliidae",950
"corinnidae",948
"drepanophycaceae",945
"dendrograptidae",944
"ptilodictyidae",944
"arcticidae",942
"simimyidae",939
"geoemydidae",935
"mactromyidae",932
"sphenacodontidae",932
"anacardiaceae",931
"limnodynastidae",930
"emporiaceae",929
"rhabdomesidae",929
"esocidae",928
"anthracotheriidae",927
"boraginaceae",924
"mordellidae",924
"cytherideidae",923
"tytonidae",923
"holothuriidae",922
"palaeocarididae",922
"hydrobatidae",921
"galatheidae",916
"rafinesquinidae",908
"actinocrinitidae",907
"moresnetiaceae",907
"polioptilidae",907
"martiniidae",905
"helicarionidae",904
"scopelarchidae",903
"strophodontidae",901
"dolichopodidae",900
"oxyclaenidae",899
"waptiidae",899
"caryophylliidae",898
"bucconidae",896
"batostomellidae",890
"haemulidae",890
"miacidae",889
"rhabdodermatidae",889
"tonnidae",889
"ovulidae",884
"mopaliidae",882
"platysternidae",882
"spheniscidae",882
"polygnathidae",879
"raninidae",878
"asaphiscidae",875
"xanthidae",874
"leiuperidae",873
"megalopidae",872
"desmoceratidae",871
"laganidae",869
"gaviidae",867
"pompilidae",867
"ctenodontidae",863
"mormoopidae",861
"hippolytidae",859
"ophidiidae",856
"haminoeidae",854
"raphistomatidae",854
"mitsukurinidae",847
"mutillidae",847
"pyralidae",846
"stromatoporidae",841
"ericaceae",837
"palaeomerycidae",837
"scaphiopodidae",837
"varanidae",837
"sigillariaceae",836
"leucosiidae",835
"ceramoporidae",834
"gavelinellidae",834
"calloporidae",833
"calappidae",832
"dolichometopidae",832
"pandoridae",832
"hildoceratidae",830
"bathylagidae",829
"oxytomidae",829
"monograptidae",828
"pisocrinidae",828
"triplesiidae",828
"lissatrypidae",827
"lithostrotionidae",827
"oxyopidae",827
"ariophantidae",825
"eunicidae",825
"proscalopidae",825
"nephropidae",824
"serrivomeridae",824
"pirasocrinidae",821
"scaphandridae",820
"calamostachyaceae",819
"nucleospiridae",819
"syngnathidae",818
"podocarpaceae",816
"bothrophyllidae",815
"acteoninidae",811
"amphilemuridae",811
"gordenellidae",811
"cuspidariidae",809
"astropectinidae",808
"eggerellidae",808
"dendrophylliidae",807
"globotruncanidae",803
"pocilloporidae",803
"enidae",801
"leptaenidae",801
"pseudomonotidae",799
"strophalosiidae",797
"cupuladriidae",796
"vitaceae",793
"hominidae",791
"vertiginidae",791
"cancrisidae",789
"valvulinidae",788
"tabanidae",787
"pterinopectinidae",785
"astylospongiidae",783
"bregmacerotidae",783
"aegithalidae",782
"plectambonitidae",782
"asilidae",781
"eurhinodelphinidae",779
"pleuronectidae",779
"pseudolividae",779
"suidae",779
"hydractiniidae",778
"bonelliidae",775
"coerebidae",775
"praecardiidae",775
"phanerotrematidae",773
"bombycillidae",771
"dicruridae",771
"planaxidae",771
"receptaculitidae",771
"tetralobulidae",770
"granatocrinidae",769
"schizoblastidae",767
"agelenidae",766
"caeciliidae",766
"rzehakinidae",764
"lichidae",763
"dictynidae",761
"braconidae",760
"ceratopsidae",760
"oculinidae",760
"aisenvergiidae",759
"encrinuridae",755
"certhiidae",754
"nostoceratidae",754
"celyphiidae",751
"tillotheriidae",751
"chasmocarcinidae",750
"philodromidae",750
"agnostidae",747
"araliaceae",744
"bursidae",743
"menispermaceae",743
"struthiolariidae",742
"berberidaceae",741
"natricidae",741
"eocrinidae",740
"pleurodontidae",740
"pyxicephalidae",739
"eponididae",738
"orbitremitidae",738
"siderastreidae",738
"pellorneidae",737
"timaliidae",736
"ornithocheiridae",735
"uloboridae",735
"sparassidae",734
"erethizontidae",733
"cetotheriidae",730
"gypsonictopidae",727
"solemyidae",726
"pterygometopidae",724
"reophacidae",723
"glyptocrinidae",720
"oncoceratidae",720
"gastrochaenidae",719
"retusidae",719
"thraciidae",715
"stagonolepididae",714
"synodontidae",712
"gruidae",711
"geolabididae",709
"anomalocarididae",708
"cochliodontidae",706
"atrypinidae",705
"meropidae",704
"chaetetidae",699
"loxoconchidae",699
"phalangiidae",699
"pleioptygmatidae",699
"trichechidae",699
"parabolinoididae",696
"amnicolidae",694
"pentacrinitidae",691
"siphogenerinoididae",691
"buprestidae",688
"enchodontidae",686
"idahoiidae",686
"lutjanidae",686
"megachilidae",686
"selenopeltidae",685
"ceratophryidae",683
"adoxaceae",679
"pentatomidae",678
"homocrinidae",675
"sphyrnidae",675
"zeilleriidae",673
"dokimocephalidae",672
"omomyidae",671
"zalmoxidae",671
"heterohelicidae",668
"asterothecaceae",667
"faujasiidae",666
"callocystitidae",665
"schizoporellidae",665
"calamariaceae",664
"allorhynchidae",663
"solariellidae",662
"gelocidae",660
"dytiscidae",658
"julidae",658
"acroporidae",656
"emballonuridae",655
"haplophragmoididae",653
"holasteridae",652
"phragmoceratidae",652
"crabronidae",651
"momotidae",651
"lasaeidae",646
"natalidae",646
"sphaeragnostidae",646
"raphiophoridae",645
"cancridae",644
"psalixochlaenaceae",644
"scaridae",644
"odobenidae",643
"oriolidae",643
"hydropsychidae",639
"spiroplectamminidae",639
"ariidae",637
"ammodiscidae",635
"echinarachniidae",635
"helicellidae",635
"pontisiidae",634
"apatemyidae",633
"leptostrophiidae",633
"harpidae",631
"pachycephalidae",631
"bullinidae",630
"dakoticancridae",630
"hoplitidae",626
"remopleurididae",626
"cornulitidae",624
"loricariidae",623
"chrysopidae",621
"primitiidae",621
"hipposideridae",620
"pelomedusidae",620
"discorbidae",619
"poaceae",619
"harpetidae",618
"meloidae",618
"hybodontidae",616
"ptychaspididae",615
"ampullinidae",613
"nothrotheriidae",613
"leptocoeliidae",612
"hysterolitidae",611
"eichwaldiidae",610
"nomeidae",610
"corytophanidae",609
"conocoryphidae",608
"sagdidae",608
"hercosiidae",607
"ptychadenidae",606
"chlopsidae",605
"dromomerycidae",604
"geometridae",603
"coreidae",601
"malaconotidae",601
"nephtyidae",599
"cynipidae",595
"celastraceae",592
"cardioceratidae",591
"dicoelosiidae",591
"evermannellidae",591
"oreohelicidae",591
"sclerosomatidae",591
"crepicephalidae",590
"nereididae",590
"chaetodontidae",589
"balistidae",588
"valvatidae",588
"desmostylidae",587
"nymphaeaceae",587
"dasyproctidae",586
"onychodontidae",586
"elmidae",584
"valloniidae",584
"ellipsolagenidae",583
"truncorotaloididae",583
"champsosauridae",581
"derichthyidae",580
"scapherpetontidae",580
"soritidae",580
"taxodiaceae",580
"paterinidae",579
"spiroloculinidae",579
"micrasteridae",578
"cardiniidae",576
"gasterosteidae",576
"sirenidae",576
"coccinellidae",574
"notosudidae",574
"blenniidae",573
"diomedeidae",573
"malacanthidae",573
"rotaliidae",573
"caprinuloideidae",571
"agariciidae",570
"agriochoeridae",569
"tinamidae",569
"plectofrondiculariidae",568
"bothremydidae",567
"cimolomyidae",567
"anazygidae",566
"acanthodidae",565
"aristocystitidae",565
"chonetellidae",565
"threskiornithidae",565
"ringiculidae",563
"family incertae sedis",562
"raphitomidae",562
"scaridiidae",562
"amphisteginidae",561
"rhinolophidae",561
"menippidae",560
"tentaculitidae",559
"empididae",557
"melanopsidae",557
"chelidae",555
"limoniidae",555
"pyrgomatidae",552
"batillariidae",551
"psocidiidae",551
"syringothyrididae",551
"tetrarhynchiidae",548
"botryopteridaceae",546
"lyelliceratidae",544
"engonoceratidae",542
"beyrichiidae",541
"bothriolepididae",541
"cryptonellidae",541
"stauropteridaceae",540
"trochomorphidae",539
"embiotocidae",537
"engraulidae",537
"periplomatidae",537
"cystiscidae",536
"phylloceratidae",536
"vitrinidae",536
"elviniidae",534
"interatheriidae",534
"otariidae",534
"shirakiellidae",534
"chiroteuthidae",533
"cracidae",533
"diogenidae",533
"comasteridae",532
"cyclacanthariidae",532
"crocodile indet.",527
"pyramidulidae",526
"colletidae",523
"aspleniaceae",522
"perisphinctidae",522
"stricklandiidae",521
"bucaniidae",520
"dictyospongiidae",520
"margaritidae",519
"ceratopogonidae",517
"glossograptidae",517
"scalpellidae",517
"clathurellidae",516
"halliidae",516
"cytheridae",515
"aetosauridae",514
"hyaenidae",514
"squalodontidae",514
"megathyrididae",512
"sphenopteridae",512
"petalodontidae",511
"pomacanthidae",511
"arbaciidae",510
"cytherellidae",509
"oleaceae",509
"psuedorthoceratidae",509
"peronopsidae",508
"andrenidae",507
"panopeidae",506
"bugulidae",505
"capulidae",505
"archaeobalanidae",502
"clymeniidae",502
"iocrinidae",502
"antiphyllidae",501
"bramidae",501
"buliminellidae",500
"saleniidae",498
"trigonidiidae",497
"astraeospongiidae",495
"echinosphaeritidae",495
"propeamussiidae",495
"codasteridae",494
"polynoidae",494
"scorpaenidae",493
"trimerorhachidae",493
"dicaeidae",491
"personidae",491
"cosmetidae",489
"cyrtodontidae",489
"disphyllidae",489
"heterocrinidae",488
"limnephilidae",488
"howellidae",485
"leptotyphlopidae",485
"dichocrinidae",483
"paradisaeidae",480
"scolopocryptopidae",480
"stagodontidae",480
"apogonidae",479
"eothyrididae",479
"loveniidae",479
"carpolestidae",477
"williamsoniaceae",477
"leptolepididae",475
"nitidulidae",475
"oldhaminidae",475
"trematidae",475
"cyathocrinitidae",471
"icacinaceae",471
"miridae",470
"orbitolinidae",470
"vauxiidae",470
"loxonematidae",469
"streptorhynchidae",466
"trachelidae",466
"anyphaenidae",465
"ellesmeroceratidae",465
"nesomyidae",465
"rhipiduridae",465
"lophiidae",464
"annonaceae",463
"abertellidae",461
"desmatosuchidae",461
"trochodendraceae",461
"laqueidae",460
"aturiidae",459
"heliasteridae",459
"zaphrentoididae",459
"entelodontidae",458
"uncertain",458
"waagenophyllidae",458
"buriadiaceae",456
"compositae",455
"eumenidae",455
"helicodiscidae",455
"ottoiidae",455
"talitridae",455
"thysanophoridae",455
"dikelocephalidae",454
"ellipsoidinidae",454
"epialtidae",454
"saukiidae",453
"bathyuridae",451
"corbiculidae",451
"keraterpetontidae",451
"metriophyllidae",451
"haplotrematidae",448
"megalomastomidae",448
"stylocellidae",448
"dasyuridae",446
"gadidae",446
"holopeidae",446
"sebargasiidae",446
"assimineidae",444
"lophotichiidae",444
"taeniolabidae",444
"adeonidae",443
"prioniodontidae",443
"syllidae",443
"camerellidae",442
"durhaminidae",442
"hydrophilidae",442
